experiment,model,accuracy,balanced_accuracy,precision_at_risk,recall_at_risk,f1_at_risk,roc_auc,tn,fp,fn,tp
early_warning_without_prior_grades,Random_Forest,0.823076923076923,0.8136363636363637,0.45714285714285713,0.8,0.5818181818181818,0.8222727272727273,91,19,4,16
early_warning_without_prior_grades,Support_Vector_Machine,0.8384615384615385,0.7818181818181817,0.4827586206896552,0.7,0.5714285714285714,0.83,95,15,6,14
early_warning_without_prior_grades,Decision_Tree,0.7384615384615385,0.7022727272727273,0.325,0.65,0.43333333333333335,0.6697727272727272,83,27,7,13
early_warning_without_prior_grades,Logistic_Regression,0.7769230769230769,0.6840909090909091,0.3548387096774194,0.55,0.43137254901960786,0.7936363636363636,90,20,9,11
early_warning_without_prior_grades,Gradient_Boosting,0.8307692307692308,0.5727272727272728,0.4,0.2,0.26666666666666666,0.7886363636363637,104,6,16,4
early_warning_without_prior_grades,Dummy_Majority,0.8461538461538461,0.5,0.0,0.0,0.0,0.5,110,0,20,0
performance_aware_with_prior_grades,Support_Vector_Machine,0.9076923076923077,0.884090909090909,0.6538461538461539,0.85,0.7391304347826086,0.9354545454545454,101,9,3,17
performance_aware_with_prior_grades,Decision_Tree,0.9076923076923077,0.8431818181818183,0.6818181818181818,0.75,0.7142857142857143,0.8431818181818181,103,7,5,15
performance_aware_with_prior_grades,Random_Forest,0.8846153846153846,0.8704545454545454,0.5862068965517241,0.85,0.6938775510204082,0.9515909090909092,98,12,3,17
performance_aware_with_prior_grades,Logistic_Regression,0.8769230769230769,0.8863636363636364,0.5625,0.9,0.6923076923076923,0.9368181818181818,96,14,2,18
performance_aware_with_prior_grades,Gradient_Boosting,0.8923076923076924,0.8340909090909091,0.625,0.75,0.6818181818181818,0.9313636363636364,101,9,5,15
performance_aware_with_prior_grades,Dummy_Majority,0.8461538461538461,0.5,0.0,0.0,0.0,0.5,110,0,20,0
